date,store_name,store_id,device_id,gps_location,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-05,Kaufland,place_220,71875,POINT (13.312665 52.422919),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-05,Rewe,place_210,61577,POINT (13.2240661 52.4130294),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Aldi,place_102,3487,POINT (13.29136 52.39107),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,McDonald's,place_5,48066,POINT (13.3231859 52.5612622),0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_203,41255,POINT (13.49339 52.41284),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-05,Rewe,place_171,50569,POINT (13.4708299 52.5286394),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-06,Kaufland,place_223,92287,POINT (13.50489 52.54833000000001),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2021-01-06,Aldi,place_132,55548,POINT (13.3399236 52.60515820000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Rewe,place_209,52891,POINT (13.4404561 52.3947866),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Rewe,place_193,53250,POINT (13.4062886 52.353369),0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
2021-01-06,Kaufland,place_225,13747,POINT (13.36794 52.46221),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Kaufland,place_221,5501,POINT (13.4482544 52.4362089),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Kaufland,place_214,19229,POINT (13.4446262 52.5645503),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-06,Aldi,place_131,4607,POINT (13.48141 52.5120748),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Kaufland,place_225,13747,POINT (13.36779 52.46151999999999),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Aldi,place_66,16083,POINT (13.2866124 52.5919161),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Kaufland,place_216,93882,POINT (13.37697 52.46785),0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2021-01-06,Rewe,place_195,19229,POINT (13.4299086 52.58438100000001),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-06,Aldi,place_132,55548,POINT (13.3395359 52.6050591),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Kaufland,place_221,17117,POINT (13.4483709 52.4362624),0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2021-01-06,Aldi,place_111,11009,POINT (13.23717 52.3960099),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
